n,P (mmHg),ΔP (mmHg),n*ΔP,n*n,sum(n*ΔP),sum(n*n),m,e,e^2,RSS,sqrt(variance)
0,300,0,0,0,17784,1540,11.548051948051947,0.0,0.0,41.44415584415594,2.145904519056292
2,276,24,48,4,17784,1540,11.548051948051947,0.9038961038961055,0.8170281666385592,41.44415584415594,2.145904519056292
4,250,50,200,16,17784,1540,11.548051948051947,3.807792207792211,14.49928149772308,41.44415584415594,2.145904519056292
6,228,72,432,36,17784,1540,11.548051948051947,2.71168831168832,7.353253499747052,41.44415584415594,2.145904519056292
8,206,94,752,64,17784,1540,11.548051948051947,1.6155844155844221,2.610113003879259,41.44415584415594,2.145904519056292
10,184,116,1160,100,17784,1540,11.548051948051947,0.5194805194805241,0.2698600101197552,41.44415584415594,2.145904519056292
12,160,140,1680,144,17784,1540,11.548051948051947,1.4233766233766403,2.026001011975086,41.44415584415594,2.145904519056292
14,138,162,2268,196,17784,1540,11.548051948051947,0.32727272727274226,0.10710743801653873,41.44415584415594,2.145904519056292
16,114,186,2976,256,17784,1540,11.548051948051947,1.2311688311688442,1.5157766908416581,41.44415584415594,2.145904519056292
18,94,206,3708,324,17784,1540,11.548051948051947,-1.8649350649350538,3.477982796424313,41.44415584415594,2.145904519056292
20,72,228,4560,400,17784,1540,11.548051948051947,-2.961038961038952,8.767751728790635,41.44415584415594,2.145904519056292
